Age,DailyRate,Department,EducationField,Gender,MaritalStatus,MonthlyRate,OverTime,Bonus
41,1102,Sales,Life Sciences,Female,Single,19479,Yes,1947.9
49,279,Research & Development,Life Sciences,Male,Married,24907,No,0.0
37,1373,Research & Development,Other,Male,Single,2396,Yes,0.0
33,1392,Research & Development,Life Sciences,Female,Married,23159,Yes,0.0
27,591,Research & Development,Medical,Male,Married,16632,No,0.0
32,1005,Research & Development,Life Sciences,Male,Single,11864,No,0.0
59,1324,Research & Development,Medical,Female,Married,9964,Yes,0.0
30,1358,Research & Development,Life Sciences,Male,Divorced,13335,No,0.0
38,216,Research & Development,Life Sciences,Male,Single,8787,No,0.0
36,1299,Research & Development,Medical,Male,Married,16577,No,0.0
35,809,Research & Development,Medical,Male,Married,16479,No,0.0
29,153,Research & Development,Life Sciences,Female,Single,12682,Yes,0.0
31,670,Research & Development,Life Sciences,Male,Divorced,15170,No,0.0
34,1346,Research & Development,Medical,Male,Divorced,8758,No,0.0
28,103,Research & Development,Life Sciences,Male,Single,12947,Yes,0.0
29,1389,Research & Development,Life Sciences,Female,Divorced,10195,No,0.0
32,334,Research & Development,Life Sciences,Male,Divorced,15053,Yes,0.0
22,1123,Research & Development,Medical,Male,Divorced,7324,Yes,0.0
53,1219,Sales,Life Sciences,Female,Married,22021,No,2202.1
38,371,Research & Development,Life Sciences,Male,Single,4306,Yes,0.0
24,673,Research & Development,Other,Female,Divorced,8232,No,0.0
36,1218,Sales,Life Sciences,Male,Single,6986,No,698.6
34,419,Research & Development,Life Sciences,Female,Single,21293,No,0.0
21,391,Research & Development,Life Sciences,Male,Single,19281,No,0.0
34,699,Research & Development,Medical,Male,Single,17102,No,0.0
53,1282,Research & Development,Other,Female,Divorced,10735,No,0.0
32,1125,Research & Development,Life Sciences,Female,Single,4681,Yes,0.0
42,691,Sales,Marketing,Male,Married,21173,No,2117.3
44,477,Research & Development,Medical,Female,Married,2094,No,0.0
46,705,Sales,Marketing,Female,Single,22822,No,2282.2000000000003
33,924,Research & Development,Medical,Male,Single,6670,No,0.0
44,1459,Research & Development,Other,Male,Married,19121,Yes,0.0
30,125,Research & Development,Medical,Male,Single,16117,No,0.0
39,895,Sales,Technical Degree,Male,Married,3335,No,333.5
24,813,Research & Development,Medical,Male,Married,3020,Yes,0.0
43,1273,Research & Development,Medical,Female,Divorced,21923,No,0.0
50,869,Sales,Marketing,Male,Married,3810,Yes,381.0
35,890,Sales,Marketing,Female,Married,9687,No,968.7
36,852,Research & Development,Life Sciences,Female,Married,13072,Yes,0.0
33,1141,Sales,Life Sciences,Female,Married,3193,No,319.3
35,464,Research & Development,Other,Male,Divorced,10910,No,0.0
27,1240,Research & Development,Life Sciences,Female,Divorced,19715,No,0.0
26,1357,Research & Development,Life Sciences,Male,Single,10558,No,0.0
27,994,Sales,Life Sciences,Male,Single,2975,No,297.5
30,721,Research & Development,Medical,Female,Single,10781,No,0.0
41,1360,Research & Development,Technical Degree,Female,Married,16280,No,0.0
34,1065,Sales,Marketing,Male,Single,10034,No,1003.4000000000001
37,408,Research & Development,Life Sciences,Male,Married,10227,No,0.0
46,1211,Sales,Marketing,Male,Single,20445,Yes,2044.5
35,1229,Research & Development,Life Sciences,Male,Married,4892,No,0.0
48,626,Research & Development,Life Sciences,Male,Single,19294,Yes,0.0
28,1434,Research & Development,Technical Degree,Male,Single,11179,Yes,0.0
44,1488,Sales,Marketing,Female,Divorced,4009,Yes,400.90000000000003
35,1097,Research & Development,Medical,Male,Married,8302,Yes,0.0
26,1443,Sales,Marketing,Female,Married,21436,Yes,2143.6
33,515,Research & Development,Life Sciences,Female,Single,15146,Yes,0.0
35,853,Sales,Life Sciences,Male,Married,11031,No,1103.1000000000001
35,1142,Research & Development,Medical,Female,Married,16002,Yes,0.0
31,655,Research & Development,Life Sciences,Male,Divorced,9528,No,0.0
37,1115,Research & Development,Life Sciences,Male,Divorced,2689,No,0.0
32,427,Research & Development,Medical,Male,Married,10877,Yes,0.0
38,653,Research & Development,Life Sciences,Female,Single,5456,No,0.0
50,989,Research & Development,Medical,Female,Divorced,16701,Yes,0.0
59,1435,Sales,Life Sciences,Female,Single,2354,No,235.4
36,1223,Research & Development,Technical Degree,Female,Divorced,8202,No,0.0
55,836,Research & Development,Medical,Female,Divorced,19730,Yes,0.0
36,1195,Research & Development,Life Sciences,Male,Single,22656,No,0.0
45,1339,Research & Development,Life Sciences,Male,Divorced,18787,No,0.0
35,664,Research & Development,Medical,Male,Married,5868,No,0.0
36,318,Research & Development,Medical,Male,Married,21777,Yes,0.0
59,1225,Sales,Life Sciences,Female,Single,24668,No,2466.8
29,1328,Research & Development,Life Sciences,Male,Married,4956,No,0.0
31,1082,Research & Development,Medical,Male,Single,18775,No,0.0
32,548,Research & Development,Life Sciences,Male,Married,7346,No,0.0
36,132,Research & Development,Life Sciences,Female,Married,22002,No,0.0
31,746,Research & Development,Life Sciences,Female,Single,20682,No,0.0
35,776,Sales,Marketing,Male,Single,23016,No,2301.6
45,193,Research & Development,Other,Male,Married,15067,Yes,0.0
37,397,Research & Development,Medical,Male,Single,25258,No,0.0
46,945,Human Resources,Medical,Male,Divorced,10425,Yes,0.0
30,852,Research & Development,Life Sciences,Male,Married,15998,Yes,0.0
35,1214,Research & Development,Medical,Male,Single,26278,No,0.0
55,111,Sales,Life Sciences,Male,Married,18092,No,1809.2
38,573,Research & Development,Medical,Female,Divorced,15717,Yes,0.0
34,1153,Research & Development,Medical,Male,Married,17736,No,0.0
56,1400,Research & Development,Life Sciences,Male,Single,21698,No,0.0
23,541,Sales,Technical Degree,Male,Divorced,9518,No,951.8000000000001
51,432,Research & Development,Life Sciences,Male,Married,18725,No,0.0
30,288,Research & Development,Life Sciences,Male,Married,15830,No,0.0
46,669,Sales,Medical,Male,Single,13596,No,1359.6000000000001
40,530,Research & Development,Life Sciences,Male,Married,14115,No,0.0
51,632,Sales,Marketing,Male,Single,8423,Yes,842.3000000000001
30,1334,Sales,Medical,Female,Divorced,19760,Yes,1976.0
46,638,Research & Development,Medical,Male,Married,3142,Yes,0.0
32,1093,Sales,Medical,Male,Single,24301,No,2430.1
54,1217,Research & Development,Technical Degree,Female,Married,24001,No,0.0
24,1353,Sales,Other,Female,Married,17519,No,1751.9
28,120,Sales,Medical,Male,Married,8863,No,886.3000000000001
58,682,Sales,Medical,Male,Single,24409,No,2440.9
44,489,Research & Development,Medical,Male,Married,25043,No,0.0
37,807,Human Resources,Human Resources,Male,Divorced,23648,Yes,0.0
32,827,Research & Development,Life Sciences,Male,Single,15178,No,0.0
20,871,Research & Development,Life Sciences,Female,Single,19783,Yes,0.0
34,665,Research & Development,Other,Female,Single,12482,No,0.0
37,1040,Research & Development,Life Sciences,Male,Divorced,15850,No,0.0
59,1420,Human Resources,Human Resources,Female,Married,21922,No,0.0
50,1115,Research & Development,Life Sciences,Female,Married,9755,Yes,0.0
25,240,Sales,Marketing,Male,Single,26959,Yes,2695.9
25,1280,Research & Development,Medical,Male,Married,26897,No,0.0
22,534,Research & Development,Medical,Female,Single,23785,No,0.0
51,1456,Research & Development,Medical,Female,Single,25796,No,0.0
34,658,Research & Development,Life Sciences,Male,Single,22887,Yes,0.0
54,142,Human Resources,Human Resources,Female,Single,13871,Yes,0.0
24,1127,Research & Development,Life Sciences,Male,Married,13257,No,0.0
34,1031,Research & Development,Life Sciences,Female,Divorced,15000,No,0.0
37,1189,Sales,Life Sciences,Male,Single,14506,No,1450.6000000000001
34,1354,Research & Development,Medical,Female,Single,5615,No,0.0
36,1467,Sales,Technical Degree,Female,Married,22952,No,2295.2000000000003
36,922,Research & Development,Life Sciences,Female,Divorced,2561,No,0.0
43,394,Sales,Life Sciences,Male,Married,19494,Yes,1949.4
30,1312,Research & Development,Life Sciences,Male,Divorced,22310,No,0.0
33,750,Sales,Marketing,Male,Married,15480,No,1548.0
56,441,Research & Development,Life Sciences,Female,Married,4510,Yes,0.0
51,684,Research & Development,Life Sciences,Male,Single,6462,No,0.0
31,249,Sales,Life Sciences,Male,Married,20739,Yes,2073.9
26,841,Research & Development,Other,Female,Married,23300,No,0.0
58,147,Research & Development,Medical,Female,Married,3465,No,0.0
19,528,Sales,Marketing,Male,Single,26820,Yes,2682.0
22,594,Research & Development,Technical Degree,Male,Married,19299,No,0.0
49,470,Research & Development,Medical,Female,Married,5549,No,0.0
43,957,Research & Development,Medical,Female,Single,16090,No,0.0
50,809,Sales,Marketing,Female,Single,6645,No,664.5
31,542,Sales,Life Sciences,Female,Married,24788,Yes,2478.8
41,802,Sales,Life Sciences,Male,Divorced,21196,Yes,2119.6
26,1355,Human Resources,Life Sciences,Female,Married,8916,No,0.0
36,216,Research & Development,Medical,Male,Divorced,2819,No,0.0
51,1150,Research & Development,Life Sciences,Male,Single,25150,No,0.0
39,1329,Sales,Life Sciences,Female,Married,14590,No,1459.0
25,959,Sales,Life Sciences,Male,Married,24835,No,2483.5
30,1240,Human Resources,Human Resources,Male,Married,13982,Yes,0.0
32,1033,Research & Development,Medical,Female,Single,10224,No,0.0
45,1316,Research & Development,Medical,Male,Single,9752,No,0.0
38,364,Research & Development,Technical Degree,Female,Single,2302,Yes,0.0
30,438,Research & Development,Life Sciences,Female,Single,23910,No,0.0
32,689,Sales,Medical,Male,Divorced,22812,No,2281.2000000000003
30,201,Research & Development,Technical Degree,Female,Divorced,10415,No,0.0
30,1427,Research & Development,Medical,Male,Single,11162,No,0.0
41,857,Research & Development,Life Sciences,Male,Divorced,12888,No,0.0
41,933,Research & Development,Life Sciences,Male,Married,6961,No,0.0
19,1181,Research & Development,Medical,Female,Single,16102,No,0.0
40,1395,Research & Development,Medical,Female,Divorced,8504,No,0.0
35,662,Sales,Marketing,Male,Married,11439,No,1143.9
53,1436,Sales,Marketing,Male,Married,16047,Yes,1604.7
45,194,Research & Development,Life Sciences,Male,Divorced,10901,No,0.0
32,967,Sales,Marketing,Female,Single,15589,No,1558.9
29,1496,Research & Development,Technical Degree,Male,Married,26283,No,0.0
51,1169,Research & Development,Medical,Male,Married,13983,No,0.0
58,1145,Research & Development,Medical,Female,Married,11873,Yes,0.0
40,630,Sales,Marketing,Male,Married,8552,No,855.2
34,303,Sales,Marketing,Female,Married,11314,No,1131.4
22,1256,Research & Development,Medical,Male,Married,11992,No,0.0
27,691,Research & Development,Medical,Male,Divorced,5970,No,0.0
28,440,Research & Development,Medical,Male,Married,6672,No,0.0
57,334,Research & Development,Life Sciences,Male,Divorced,23402,Yes,0.0
27,1450,Research & Development,Medical,Male,Divorced,25326,Yes,0.0
50,1452,Research & Development,Life Sciences,Female,Single,17053,No,0.0
41,465,Research & Development,Life Sciences,Male,Divorced,4609,No,0.0
30,1339,Sales,Life Sciences,Female,Married,8053,No,805.3000000000001
38,702,Sales,Life Sciences,Female,Single,12930,No,1293.0
32,120,Research & Development,Life Sciences,Male,Single,12430,No,0.0
27,1157,Research & Development,Technical Degree,Male,Married,13364,Yes,0.0
19,602,Sales,Technical Degree,Female,Single,20989,No,2098.9
36,1480,Research & Development,Medical,Male,Single,15062,No,0.0
30,111,Research & Development,Medical,Male,Divorced,11012,No,0.0
45,1268,Sales,Life Sciences,Female,Divorced,6319,Yes,631.9000000000001
56,713,Research & Development,Life Sciences,Female,Divorced,13939,Yes,0.0
33,134,Research & Development,Life Sciences,Male,Single,10515,No,0.0
19,303,Research & Development,Life Sciences,Male,Single,9241,No,0.0
46,526,Sales,Marketing,Female,Divorced,2137,No,213.70000000000002
38,1380,Research & Development,Life Sciences,Female,Single,6319,No,0.0
31,140,Research & Development,Medical,Female,Married,6984,Yes,0.0
34,629,Research & Development,Medical,Female,Single,5711,No,0.0
41,1356,Sales,Marketing,Female,Single,21728,Yes,2172.8
50,328,Research & Development,Medical,Male,Married,3425,No,0.0
53,1084,Research & Development,Medical,Female,Divorced,26250,No,0.0
33,931,Research & Development,Medical,Female,Married,4673,No,0.0
40,989,Research & Development,Medical,Female,Married,6499,No,0.0
55,692,Research & Development,Medical,Male,Single,13339,No,0.0
34,1069,Research & Development,Life Sciences,Male,Married,14074,No,0.0
51,313,Research & Development,Medical,Female,Single,7192,No,0.0
52,699,Research & Development,Life Sciences,Male,Married,5678,No,0.0
27,894,Research & Development,Medical,Female,Single,11781,No,0.0
35,556,Research & Development,Life Sciences,Male,Married,15497,Yes,0.0
43,1344,Research & Development,Medical,Male,Divorced,5228,No,0.0
45,1195,Research & Development,Medical,Male,Married,20462,No,0.0
37,290,Research & Development,Life Sciences,Male,Married,22977,Yes,0.0
35,138,Research & Development,Medical,Female,Single,15986,No,0.0
42,926,Research & Development,Medical,Female,Divorced,16439,No,0.0
38,1261,Research & Development,Life Sciences,Male,Married,7259,No,0.0
38,1084,Research & Development,Technical Degree,Male,Married,4185,No,0.0
27,472,Research & Development,Technical Degree,Male,Married,9679,No,0.0
49,1002,Research & Development,Life Sciences,Male,Divorced,23793,Yes,0.0
34,878,Research & Development,Medical,Male,Divorced,5972,Yes,0.0
40,905,Research & Development,Medical,Male,Married,16523,Yes,0.0
38,1180,Research & Development,Medical,Male,Married,11354,Yes,0.0
29,121,Sales,Marketing,Female,Married,24525,No,2452.5
22,1136,Research & Development,Life Sciences,Male,Divorced,12392,Yes,0.0
36,635,Research & Development,Medical,Female,Single,7703,No,0.0
40,1151,Research & Development,Life Sciences,Male,Married,14242,No,0.0
46,644,Research & Development,Medical,Male,Divorced,12368,No,0.0
32,1045,Sales,Medical,Male,Married,25812,No,2581.2000000000003
30,829,Research & Development,Life Sciences,Male,Single,20925,No,0.0
27,1242,Sales,Life Sciences,Female,Single,12916,No,1291.6000000000001
51,1469,Research & Development,Life Sciences,Male,Married,15736,No,0.0
30,1005,Research & Development,Technical Degree,Female,Single,8556,Yes,0.0
41,896,Sales,Life Sciences,Female,Single,14674,Yes,1467.4
30,334,Sales,Marketing,Female,Single,22967,No,2296.7000000000003
29,992,Research & Development,Technical Degree,Male,Single,19757,No,0.0
45,1052,Sales,Medical,Female,Single,16840,No,1684.0
54,1147,Sales,Marketing,Female,Married,17011,No,1701.1000000000001
36,1396,Research & Development,Life Sciences,Male,Single,9945,No,0.0
33,147,Research & Development,Medical,Female,Married,13248,No,0.0
37,663,Research & Development,Other,Male,Divorced,10056,Yes,0.0
38,119,Sales,Life Sciences,Male,Divorced,9647,No,964.7
31,979,Research & Development,Medical,Male,Married,4381,No,0.0
59,142,Research & Development,Life Sciences,Male,Married,8456,No,0.0
37,319,Sales,Marketing,Male,Divorced,2539,No,253.9
29,1413,Sales,Medical,Female,Married,6599,No,659.9000000000001
35,944,Sales,Marketing,Female,Single,9096,No,909.6
29,896,Research & Development,Medical,Male,Single,14961,Yes,0.0
52,1323,Research & Development,Life Sciences,Female,Single,3300,No,0.0
42,532,Research & Development,Technical Degree,Male,Married,4933,No,0.0
59,818,Human Resources,Medical,Male,Married,25657,No,0.0
50,854,Sales,Medical,Female,Divorced,24118,No,2411.8
33,813,Research & Development,Medical,Male,Married,22149,Yes,0.0
43,1034,Sales,Marketing,Female,Married,7744,Yes,774.4000000000001
33,465,Research & Development,Life Sciences,Female,Married,21509,No,0.0
52,771,Sales,Life Sciences,Male,Single,21030,Yes,2103.0
32,1401,Sales,Life Sciences,Female,Married,20990,No,2099.0
32,515,Research & Development,Life Sciences,Male,Single,9571,Yes,0.0
39,1431,Research & Development,Medical,Female,Divorced,15417,No,0.0
32,976,Sales,Marketing,Male,Married,12069,No,1206.9
41,1411,Research & Development,Life Sciences,Male,Divorced,19877,No,0.0
40,1300,Research & Development,Technical Degree,Male,Divorced,24447,No,0.0
45,252,Research & Development,Other,Male,Married,15970,No,0.0
31,1327,Research & Development,Medical,Male,Divorced,13523,No,0.0
33,832,Research & Development,Life Sciences,Female,Married,14776,No,0.0
34,470,Research & Development,Life Sciences,Male,Married,23687,No,0.0
37,1017,Research & Development,Medical,Female,Married,18697,No,0.0
45,1199,Research & Development,Life Sciences,Male,Married,5118,No,0.0
37,504,Research & Development,Medical,Male,Divorced,22573,No,0.0
39,505,Research & Development,Technical Degree,Female,Single,6420,No,0.0
29,665,Research & Development,Life Sciences,Male,Single,22673,No,0.0
42,916,Research & Development,Life Sciences,Female,Single,23016,Yes,0.0
29,1247,Sales,Marketing,Male,Divorced,10732,No,1073.2
25,685,Research & Development,Life Sciences,Female,Married,7505,No,0.0
42,269,Research & Development,Medical,Female,Divorced,8007,Yes,0.0
40,1416,Research & Development,Medical,Male,Divorced,5949,No,0.0
51,833,Research & Development,Life Sciences,Male,Married,23231,No,0.0
31,307,Research & Development,Medical,Male,Single,11652,No,0.0
32,1311,Research & Development,Life Sciences,Male,Married,26062,No,0.0
38,1327,Sales,Life Sciences,Male,Married,19682,No,1968.2
32,128,Research & Development,Technical Degree,Male,Single,19737,No,0.0
46,488,Sales,Technical Degree,Female,Married,14977,Yes,1497.7
28,529,Research & Development,Life Sciences,Male,Single,14935,No,0.0
29,1210,Sales,Medical,Male,Married,3687,No,368.70000000000005
31,1463,Research & Development,Medical,Male,Married,14408,No,0.0
25,675,Research & Development,Life Sciences,Male,Divorced,18384,No,0.0
45,1385,Research & Development,Medical,Male,Married,7501,Yes,0.0
36,1403,Research & Development,Life Sciences,Male,Married,20251,No,0.0
55,452,Research & Development,Medical,Male,Single,18938,Yes,0.0
47,666,Research & Development,Life Sciences,Male,Married,10268,Yes,0.0
28,1158,Research & Development,Medical,Male,Married,2613,No,0.0
37,228,Sales,Medical,Male,Married,22825,No,2282.5
21,996,Research & Development,Medical,Male,Single,10531,No,0.0
37,728,Research & Development,Medical,Female,Divorced,11677,Yes,0.0
35,1315,Research & Development,Life Sciences,Female,Divorced,19100,No,0.0
38,322,Sales,Medical,Female,Divorced,19191,Yes,1919.1000000000001
26,1479,Research & Development,Life Sciences,Female,Divorced,26767,No,0.0
50,797,Research & Development,Life Sciences,Male,Divorced,15815,No,0.0
53,1070,Research & Development,Medical,Male,Married,21016,Yes,0.0
42,635,Sales,Life Sciences,Male,Married,24532,No,2453.2000000000003
29,442,Sales,Life Sciences,Male,Single,20260,No,2026.0
55,147,Research & Development,Technical Degree,Male,Married,15972,Yes,0.0
26,496,Research & Development,Medical,Male,Married,22722,Yes,0.0
37,1372,Research & Development,Life Sciences,Female,Single,15881,No,0.0
44,920,Research & Development,Life Sciences,Male,Divorced,19920,Yes,0.0
38,688,Research & Development,Life Sciences,Male,Divorced,18899,No,0.0
26,1449,Research & Development,Medical,Male,Divorced,14180,Yes,0.0
28,1117,Research & Development,Life Sciences,Female,Single,4488,No,0.0
49,636,Research & Development,Life Sciences,Female,Single,25594,Yes,0.0
36,506,Research & Development,Technical Degree,Male,Single,26285,No,0.0
31,444,Sales,Marketing,Female,Divorced,3909,No,390.90000000000003
26,950,Sales,Marketing,Male,Single,8450,Yes,845.0
37,889,Research & Development,Medical,Male,Married,11411,Yes,0.0
42,555,Sales,Marketing,Female,Married,14864,No,1486.4
18,230,Research & Development,Life Sciences,Male,Single,25233,No,0.0
35,1232,Sales,Marketing,Male,Married,5100,No,510.0
36,566,Research & Development,Life Sciences,Male,Married,7122,No,0.0
51,1302,Research & Development,Medical,Male,Divorced,16321,No,0.0
41,334,Sales,Life Sciences,Male,Single,15896,No,1589.6000000000001
18,812,Sales,Medical,Female,Single,9724,No,972.4000000000001
28,1476,Research & Development,Medical,Male,Single,4824,No,0.0
31,218,Sales,Technical Degree,Male,Married,12241,No,1224.1000000000001
39,1132,Research & Development,Medical,Male,Divorced,10942,No,0.0
36,1105,Research & Development,Life Sciences,Female,Married,6927,No,0.0
32,906,Sales,Life Sciences,Male,Married,16985,No,1698.5
38,849,Research & Development,Life Sciences,Female,Married,26707,No,0.0
58,390,Research & Development,Life Sciences,Male,Divorced,17056,Yes,0.0
31,691,Research & Development,Technical Degree,Male,Married,10077,Yes,0.0
31,106,Human Resources,Human Resources,Male,Married,17822,No,0.0
45,1249,Research & Development,Life Sciences,Male,Divorced,20308,No,0.0
31,192,Research & Development,Life Sciences,Male,Divorced,7747,Yes,0.0
33,553,Research & Development,Life Sciences,Female,Married,23364,No,0.0
39,117,Research & Development,Medical,Male,Married,5355,Yes,0.0
43,185,Research & Development,Life Sciences,Female,Single,10675,No,0.0
49,1091,Research & Development,Technical Degree,Female,Single,17810,Yes,0.0
52,723,Research & Development,Medical,Male,Married,17747,No,0.0
27,1220,Research & Development,Life Sciences,Female,Single,20938,Yes,0.0
32,588,Sales,Technical Degree,Female,Married,24624,Yes,2462.4
27,1377,Sales,Life Sciences,Male,Single,5242,Yes,524.2
31,691,Sales,Marketing,Male,Divorced,7143,No,714.3000000000001
32,1018,Research & Development,Medical,Female,Single,10557,No,0.0
28,1157,Research & Development,Medical,Male,Married,24737,Yes,0.0
30,1275,Research & Development,Medical,Female,Married,11934,No,0.0
31,798,Research & Development,Life Sciences,Female,Married,14034,No,0.0
39,672,Research & Development,Medical,Male,Married,21141,No,0.0
39,1162,Sales,Medical,Female,Married,17778,Yes,1777.8000000000002
33,508,Sales,Marketing,Male,Single,4317,No,431.70000000000005
47,1482,Research & Development,Life Sciences,Male,Married,16375,No,0.0
43,559,Research & Development,Life Sciences,Female,Divorced,6227,No,0.0
27,210,Sales,Marketing,Male,Married,22107,Yes,2210.7000000000003
54,928,Research & Development,Life Sciences,Female,Single,16885,No,0.0
43,1001,Research & Development,Life Sciences,Female,Married,9262,No,0.0
45,549,Research & Development,Other,Male,Married,9278,No,0.0
40,1124,Sales,Medical,Male,Married,13273,Yes,1327.3000000000002
29,318,Research & Development,Other,Male,Married,4759,Yes,0.0
29,738,Research & Development,Other,Male,Single,7621,No,0.0
30,570,Sales,Marketing,Female,Divorced,5431,No,543.1
27,1130,Sales,Marketing,Female,Married,3415,No,341.5
37,1192,Research & Development,Medical,Male,Divorced,23177,No,0.0
38,343,Research & Development,Life Sciences,Male,Divorced,15682,Yes,0.0
31,1232,Research & Development,Medical,Female,Single,25713,Yes,0.0
29,144,Sales,Marketing,Female,Divorced,11866,Yes,1186.6000000000001
35,1296,Research & Development,Technical Degree,Male,Single,18264,No,0.0
23,1309,Research & Development,Life Sciences,Male,Divorced,16092,No,0.0
41,483,Research & Development,Medical,Male,Single,10110,Yes,0.0
47,1309,Sales,Medical,Male,Single,25751,No,2575.1000000000004
42,810,Research & Development,Life Sciences,Female,Single,15901,No,0.0
29,746,Sales,Life Sciences,Male,Married,16928,No,1692.8000000000002
42,544,Human Resources,Technical Degree,Male,Divorced,24017,Yes,0.0
32,1062,Research & Development,Medical,Female,Married,3956,No,0.0
48,530,Sales,Medical,Female,Married,23978,No,2397.8
37,1319,Research & Development,Medical,Male,Divorced,17001,Yes,0.0
30,641,Sales,Technical Degree,Female,Married,6069,Yes,606.9
26,933,Sales,Life Sciences,Male,Married,20156,No,2015.6000000000001
42,1332,Research & Development,Other,Male,Single,17078,No,0.0
21,756,Sales,Technical Degree,Female,Single,9150,Yes,915.0
36,845,Sales,Medical,Female,Single,15276,No,1527.6000000000001
36,541,Sales,Medical,Male,Married,7246,No,724.6
57,593,Research & Development,Medical,Male,Married,2967,No,0.0
40,1171,Research & Development,Life Sciences,Female,Married,22495,Yes,0.0
21,895,Sales,Medical,Male,Single,2851,No,285.1
33,350,Sales,Marketing,Female,Single,9150,Yes,915.0
